groupName,customereducationalqualification,spouseeducationalqualification,familymemberscount,age,everDefault,everNPA,groupSize,maxRelCatProp,casteSimilarityProp,occupationHomogeneity,ownAsset,maritalStatus,ownHouse,farmerCategory,totalLand,min_age,max_age,var_age,dif_age,avg_expenditure,min_familymemberscount,max_familymemberscount,avg_familymemberscount,var_familymemberscount,dif_familymemberscount,log_minTotalAssets,logMaxAssets,logAvgAssets,avg_totalLand,var_totalLand,ownAssetProp,marriedProp,ownHouseProp,landFarmerProp,branchNameLC1,categoryLC1,districtnameLC1,villagetypeLC1,villagetypeLC2,"('category', 'GEN')","('category', 'OBC')","('category', 'SC')","('category', 'ST')",logIncome,logExpend,casteHomogeneity
A KATAPALI C1 G1,0.857142857,1.5,4.714285714,43.14285714,0.142857143,0.142857143,7,100,0.71428573,100,1,0.857142857,1,0.571428571,1.714285714,31,48,35.142857,17,2500,2,7,4.7142859,3.5714285,5,4.698970004,5.176091259,4.97444588,1.7142857,1.2380952,1,0.85714287,1,0.5714286,16,2,5.285714286,5,0,0,0,1,0,9.0118895,7.8240461,0
A KATAPALI C2 G1,1.333333333,1.8,4.166666667,38.5,0,0,6,100,1,50,1,0.833333333,1,0.333333333,0.833333333,27,51,69.900009,24,2500,3,5,4.1666665,0.9666667,2,4.176091259,5.041392685,4.865301442,0.83333331,0.9666667,1,0.83333331,1,0.33333334,16,2,23,5,0,0,0,1,0,9.0118895,7.8240461,1
A KATAPALI C3 G1,1.5,1.666666667,4.25,33.5,0,0,4,100,1,25,1,0.75,1,0.333333333,2.75,23,42,81.666672,19,2500,3,7,4.25,3.5833335,4,5,5.301029996,5.096910013,2.75,9.583334,1,0.75,1,0.25,16,2,15.75,5,0,0,0,1,0,9.0118895,7.8240461,1
AAVKAR SOCIETY C1 G1,3,0,0,40.33333333,0,0,5,40,0.80000001,60,1,1,1,0,0,33,53,121.33334,20,2000,0,0,0,0,0,0,4.954242509,4.77815125,0,0,0.60000002,1,0.60000002,0,26,1.8,26,5,0,0.6,0.4,0,0,8.5171928,7.6009026,0
ABALOUVA C2 G1,1,0.142857143,6.142857143,31.71428571,0,0,7,57.142857,0.14285715,100,1,1,1,0,0,25,37,18.57143,12,4142.8569,4,9,6.1428571,2.8095238,5,5.544068044,5.544068044,5.544068044,0,0,1,1,1,0,21,2.142857143,6.714285714,5,0,0.142857143,0.285714286,0.571428571,0,8.9871969,8.2940493,0
ABANKELA C1 G1,0.75,2,4,39,0,0,4,100,1,50,0,0.5,1,0.25,1.25,29,53,101.99999,24,3000,3,5,4,1.3333333,2,5.217483944,5.217483944,5.217483944,1.25,0.25,0,0.5,1,0.25,1,5,21.5,5,0,0,0,0,1,8.9871969,8.0063677,1
ABANKELA C5 G1,1.285714286,2.142857143,3.714285714,35.14285714,0,0,7,85.714287,0.42857143,71.428574,0,1,1,1,2,22,46,62.14286,24,3000,3,4,3.7142856,0.23809522,1,5.217483944,5.217483944,5.217483944,2,0,0,1,1,1,1,5,11.85714286,3.285714286,0.857142857,0,0,0,1,8.9871969,8.0063677,0
ABANKELA C6 G1,1.666666667,2.333333333,4.166666667,33.83333333,0,0,6,100,0.5,100,0,1,1,0.333333333,0.666666667,29,44,32.166668,15,3000,4,5,4.1666665,0.16666667,1,5.217483944,5.217483944,5.217483944,0.66666669,1.0666666,0,1,1,0.33333334,1,5,22.66666667,5,0,0,0,0,1,8.9871969,8.0063677,0
ABHOL C1 G1,0.25,0,3.75,43.5,0,0,4,100,0.5,75,0,1,1,0,0,40,46,9,6,4000,3,4,3.75,0.25,1,4.079181246,5.079181246,4.968482949,0,0,0,1,1,0,36,3,29.5,5,0,0,1,0,0,9.0240107,8.2940493,0
ABHOL C3 G1,0.75,0,4.75,40,0,0,4,100,0.75,75,0,1,1,0,0,34,52,71.999992,18,4000,3,6,4.75,1.5833335,3,5.079181246,5.079181246,5.079181246,0,0,0,1,1,0,36,3,1,1,3,0,1,0,0,9.0240107,8.2940493,0
